indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
8376,2026-07-28 00:00:00+00:00,32.4,21.1,28.39,26.75,62.0,34.9,21.0,3.42,10.5,0.0,0.0,,12,False
8381X,2026-07-28 00:00:00+00:00,37.2,24.8,33.5,31.0,55.0,34.9,24.0,,,0.0,0.0,,11,False
8395X,2026-07-28 00:00:00+00:00,35.4,23.5,31.04,29.45,77.0,46.1,32.0,3.47,10.1,0.0,0.0,,12,False
8409X,2026-07-28 00:00:00+00:00,34.8,25.0,31.0,29.9,78.0,53.8,41.0,3.18,8.8,0.0,0.0,,12,False
8414A,2026-07-28 00:00:00+00:00,32.7,27.5,30.6,30.1,74.0,59.0,49.0,4.57,9.3,0.0,0.0,562.0,12,False
8416,2026-07-28 00:00:00+00:00,30.7,27.6,29.42,29.15,75.0,65.4,58.0,3.31,10.9,0.0,0.0,,12,False
8433X,2026-07-28 00:00:00+00:00,35.4,23.4,30.9,29.4,59.0,37.2,26.0,3.33,8.4,0.0,0.0,,11,False
8439X,2026-07-28 00:00:00+00:00,32.2,21.8,28.57,27.0,74.0,53.8,42.0,2.59,8.8,0.0,0.0,,12,False
8446Y,2026-07-28 00:00:00+00:00,33.2,27.1,31.12,30.15,80.0,64.5,53.0,,,0.0,0.0,,11,False
8458X,2026-07-28 00:00:00+00:00,33.3,19.7,27.61,26.5,76.0,39.2,19.0,4.72,11.5,0.0,0.0,,12,False
8472A,2026-07-28 00:00:00+00:00,32.7,26.6,30.18,29.65,62.0,49.9,39.0,4.2,10.3,0.0,0.0,,9,False
8486X,2026-07-28 00:00:00+00:00,29.0,18.7,25.08,23.85,73.0,52.8,36.0,3.48,9.1,0.0,0.0,,12,False
8489X,2026-07-28 00:00:00+00:00,30.5,19.6,25.98,25.05,72.0,49.5,34.0,3.35,8.3,0.0,0.0,574.0,12,False
8492X,2026-07-28 00:00:00+00:00,35.3,28.3,32.59,31.8,56.0,42.6,38.0,3.91,9.4,0.0,0.0,,9,False
8500A,2026-07-28 00:00:00+00:00,32.8,26.6,30.26,29.7,78.0,61.7,51.0,2.75,8.2,0.0,0.0,558.5,12,False
8503Y,2026-07-28 00:00:00+00:00,31.3,26.2,29.45,28.75,76.0,66.6,58.0,4.08,9.3,0.0,0.0,,11,False
8518X,2026-07-28 00:00:00+00:00,32.4,25.6,29.87,29.0,73.0,61.5,48.0,5.21,11.7,0.0,0.0,,12,False
8520X,2026-07-28 00:00:00+00:00,26.1,20.5,24.2,23.3,72.0,62.5,48.0,2.86,8.1,0.0,0.0,,10,False
9001D,2026-07-28 00:00:00+00:00,34.7,23.7,31.33,29.2,45.0,25.7,17.0,2.89,9.5,0.0,0.0,,11,False
9001S,2026-07-28 00:00:00+00:00,28.8,14.4,24.25,21.6,56.0,31.7,18.0,2.48,11.2,0.0,0.0,,12,False
9012E,2026-07-28 00:00:00+00:00,34.0,25.5,31.66,29.75,30.0,22.9,14.0,,,0.0,0.0,,9,False
9016X,2026-07-28 00:00:00+00:00,36.8,21.7,32.5,29.25,54.0,26.8,17.0,2.49,10.6,0.0,0.0,,12,False
9019X,2026-07-28 00:00:00+00:00,36.1,22.0,31.93,29.05,53.0,24.0,13.0,2.83,9.3,0.0,0.0,,12,False
9031C,2026-07-28 00:00:00+00:00,36.6,24.3,33.46,30.45,47.0,26.8,19.0,2.92,8.3,0.0,0.0,,10,False
9051,2026-07-28 00:00:00+00:00,37.9,20.6,32.43,29.25,45.0,26.2,13.0,1.88,8.4,0.0,0.0,586.0,12,False
9060X,2026-07-28 00:00:00+00:00,35.4,22.4,30.92,28.9,47.0,30.7,19.0,2.14,10.2,0.0,0.0,,12,False
9069C,2026-07-28 00:00:00+00:00,40.1,25.0,35.07,32.55,48.0,30.7,20.0,1.38,5.8,0.0,0.0,,11,False
9073X,2026-07-28 00:00:00+00:00,36.4,23.5,32.09,29.95,48.0,30.7,21.0,2.06,13.9,0.0,0.0,,12,False
9091R,2026-07-28 00:00:00+00:00,39.2,23.5,33.07,31.35,54.0,31.9,17.0,3.65,10.3,0.0,0.0,608.0,12,False
9111,2026-07-28 00:00:00+00:00,35.0,23.4,30.75,29.2,40.0,28.2,21.0,2.18,8.6,0.0,0.0,,12,False
9115X,2026-07-28 00:00:00+00:00,27.6,21.9,25.39,24.75,31.0,26.1,18.0,2.69,9.5,0.0,0.0,,12,False
9121X,2026-07-28 00:00:00+00:00,38.6,24.0,33.43,31.3,46.0,30.7,20.0,,,0.0,0.0,,12,False
9122I,2026-07-28 00:00:00+00:00,36.2,22.0,31.8,29.1,59.0,34.5,25.0,2.04,5.7,0.0,0.0,,12,False
9136X,2026-07-28 00:00:00+00:00,33.8,21.5,29.17,27.65,52.0,36.8,27.0,,,0.0,0.0,,12,False
9141V,2026-07-28 00:00:00+00:00,37.7,23.8,32.04,30.75,55.0,38.2,25.0,1.58,5.5,0.0,0.0,,12,False
9145X,2026-07-28 00:00:00+00:00,34.5,22.6,30.65,28.55,51.0,36.3,27.0,,,0.0,0.0,,12,False
9145Y,2026-07-28 00:00:00+00:00,38.8,24.0,33.61,31.4,44.0,29.0,19.0,1.65,6.5,0.0,0.0,,12,False
9170,2026-07-28 00:00:00+00:00,38.3,25.0,33.25,31.65,53.0,30.0,19.0,2.15,6.7,0.0,0.0,585.0,12,False
9171K,2026-07-28 00:00:00+00:00,37.9,27.0,33.4,32.45,40.0,29.7,22.0,2.21,6.4,0.0,0.0,,12,False
9178X,2026-07-28 00:00:00+00:00,37.5,25.2,32.63,31.35,45.0,32.2,25.0,,,0.0,0.0,,12,False
9188,2026-07-28 00:00:00+00:00,34.1,24.7,31.22,29.4,44.0,32.3,28.0,3.61,9.2,0.0,0.0,,12,False
9195C,2026-07-28 00:00:00+00:00,21.8,16.9,19.72,19.35,41.0,35.3,26.0,3.27,10.7,0.0,0.0,,13,False
9198X,2026-07-28 00:00:00+00:00,32.9,20.9,26.88,26.9,51.0,32.5,22.0,0.51,4.4,0.0,0.0,,12,False
9201X,2026-07-28 00:00:00+00:00,35.9,24.8,32.38,30.35,35.0,23.6,20.0,2.43,8.9,0.0,0.0,,12,False
9207,2026-07-28 00:00:00+00:00,34.8,23.3,31.5,29.05,39.0,26.2,16.0,2.21,9.6,0.0,0.0,,12,False
9208E,2026-07-28 00:00:00+00:00,33.1,24.3,30.38,28.7,31.0,22.0,15.0,3.15,9.2,0.0,0.0,510.0,12,False
9211F,2026-07-28 00:00:00+00:00,36.2,28.6,32.93,32.4,34.0,26.7,21.0,3.48,8.2,0.0,0.0,,12,False
9218A,2026-07-28 00:00:00+00:00,36.3,20.8,30.83,28.55,68.0,31.2,15.0,2.63,9.6,0.0,0.0,,12,False
9228J,2026-07-28 00:00:00+00:00,35.9,23.8,31.79,29.85,63.0,35.8,23.0,4.04,11.0,0.0,0.0,,12,False
9228T,2026-07-28 00:00:00+00:00,32.9,20.5,27.96,26.7,74.0,46.5,28.0,2.51,8.4,0.0,0.0,,12,False
9238X,2026-07-28 00:00:00+00:00,37.2,24.8,33.45,31.0,48.0,29.5,21.0,,,0.0,0.0,,12,False
9244X,2026-07-28 00:00:00+00:00,37.0,27.0,33.31,32.0,32.0,24.2,19.0,2.59,7.8,0.0,0.0,,12,False
9245X,2026-07-28 00:00:00+00:00,39.8,28.1,35.29,33.95,39.0,28.1,22.0,2.35,8.7,0.0,0.0,,12,False
9252X,2026-07-28 00:00:00+00:00,37.1,27.2,33.17,32.15,51.0,33.8,21.0,1.51,6.9,0.0,0.0,,12,False
9257X,2026-07-28 00:00:00+00:00,35.2,22.8,29.72,29.0,65.0,39.6,23.0,,,0.0,0.0,,12,False
9262P,2026-07-28 00:00:00+00:00,37.5,25.5,33.48,31.5,46.0,29.5,22.0,2.9,10.1,0.0,0.0,,12,False
9263D,2026-07-28 00:00:00+00:00,38.7,26.0,34.57,32.35,40.0,27.1,17.0,2.62,9.3,0.0,0.0,585.0,12,False
9263X,2026-07-28 00:00:00+00:00,37.6,25.2,33.5,31.4,47.0,27.0,16.0,2.32,8.4,0.0,0.0,,12,False
9274X,2026-07-28 00:00:00+00:00,38.5,26.3,33.66,32.4,49.0,30.6,19.0,2.02,8.4,0.0,0.0,,12,False
9280B,2026-07-28 00:00:00+00:00,38.0,26.1,33.95,32.05,45.0,31.0,21.0,2.62,6.1,0.0,0.0,,12,False
9287A,2026-07-28 00:00:00+00:00,33.7,25.3,30.7,29.5,40.0,30.0,22.0,3.18,8.9,0.0,0.0,,11,False
9293X,2026-07-28 00:00:00+00:00,37.9,26.3,34.59,32.1,39.0,32.2,28.0,2.15,6.4,0.0,0.0,,12,False
9294E,2026-07-28 00:00:00+00:00,38.1,26.8,34.3,32.45,38.0,24.6,18.0,3.66,9.5,0.0,0.0,591.0,12,False
9299X,2026-07-28 00:00:00+00:00,36.7,26.4,33.43,31.55,42.0,31.1,24.0,2.26,8.1,0.0,0.0,,12,False
9301X,2026-07-28 00:00:00+00:00,37.7,26.7,33.94,32.2,43.0,28.3,21.0,,,0.0,0.0,,12,False
9302Y,2026-07-28 00:00:00+00:00,38.4,26.0,34.18,32.2,45.0,33.6,25.0,2.11,7.0,0.0,0.0,,12,False
9311X,2026-07-28 00:00:00+00:00,36.4,25.2,32.93,30.8,40.0,26.2,19.0,3.61,9.0,0.0,0.0,,12,False
9321Y,2026-07-28 00:00:00+00:00,39.2,26.9,34.78,33.05,46.0,31.6,21.0,2.99,8.0,0.0,0.0,,12,False
9336D,2026-07-28 00:00:00+00:00,37.5,29.3,34.09,33.4,44.0,29.0,21.0,3.72,9.7,0.0,0.0,,12,False
9344C,2026-07-28 00:00:00+00:00,37.0,27.7,34.47,32.35,33.0,21.5,18.0,2.58,11.6,0.0,0.0,,11,False
9352A,2026-07-28 00:00:00+00:00,37.0,29.9,34.21,33.45,33.0,22.2,16.0,3.31,9.1,0.0,0.0,,8,False
9354X,2026-07-28 00:00:00+00:00,39.1,28.0,35.58,33.55,31.0,16.4,10.0,,,0.0,0.0,,12,False
9374X,2026-07-28 00:00:00+00:00,36.6,24.7,32.37,30.65,57.0,29.7,18.0,3.37,10.0,0.0,0.0,,12,False
9377Y,2026-07-28 00:00:00+00:00,36.6,25.9,33.14,31.25,33.0,21.4,16.0,2.13,7.0,0.0,0.0,,11,False
9381I,2026-07-28 00:00:00+00:00,36.9,27.0,33.43,31.95,31.0,18.0,10.0,2.83,9.5,0.0,0.0,547.2,12,False
9390,2026-07-28 00:00:00+00:00,39.1,28.7,34.32,33.9,32.0,22.6,15.0,2.32,9.0,0.0,0.0,,12,False
9394X,2026-07-28 00:00:00+00:00,39.5,26.4,35.3,32.95,36.0,19.8,12.0,1.62,7.7,0.0,0.0,596.0,12,False
9427X,2026-07-28 00:00:00+00:00,40.4,28.3,35.77,34.35,39.0,28.3,21.0,2.15,7.1,0.0,0.0,,12,False
9434,2026-07-28 00:00:00+00:00,38.7,26.4,35.19,32.55,41.0,25.2,16.0,3.29,9.3,0.0,0.0,585.8,12,False
9434P,2026-07-28 00:00:00+00:00,39.5,26.7,35.48,33.1,38.0,24.7,16.0,2.05,6.9,0.0,0.0,593.0,12,False
9436X,2026-07-28 00:00:00+00:00,34.2,24.0,30.02,29.1,56.0,30.8,20.0,2.77,13.7,0.0,0.0,,12,False
9445L,2026-07-28 00:00:00+00:00,26.1,19.0,23.57,22.55,42.0,31.0,24.0,2.12,8.6,0.0,0.0,,13,False
9451F,2026-07-28 00:00:00+00:00,25.0,19.6,22.91,22.3,43.0,34.8,32.0,3.65,11.4,0.0,0.0,,13,False
9453X,2026-07-28 00:00:00+00:00,32.1,21.0,28.79,26.55,43.0,27.7,21.0,1.55,7.4,0.0,0.0,,12,False
9460X,2026-07-28 00:00:00+00:00,36.6,23.9,33.24,30.25,40.0,23.3,18.0,1.87,9.5,0.0,0.0,,12,False
9491X,2026-07-28 00:00:00+00:00,36.7,27.9,32.94,32.3,55.0,38.7,30.0,3.03,6.3,0.0,0.0,,12,False
9495Y,2026-07-28 00:00:00+00:00,38.8,30.1,34.82,34.45,44.0,31.1,18.0,3.03,8.5,0.0,0.0,,12,False
9501X,2026-07-28 00:00:00+00:00,37.8,29.0,33.94,33.4,46.0,29.7,23.0,3.28,8.5,0.0,0.0,,12,False
9510X,2026-07-28 00:00:00+00:00,39.9,27.4,35.62,33.65,44.0,30.0,21.0,2.11,9.0,0.0,0.0,,12,False
9513X,2026-07-28 00:00:00+00:00,34.9,27.8,32.41,31.35,48.0,33.5,27.0,3.45,9.5,0.0,0.0,,12,False
9531Y,2026-07-28 00:00:00+00:00,37.6,28.2,33.75,32.9,43.0,28.8,21.0,1.33,7.1,0.0,0.0,,12,False
9546B,2026-07-28 00:00:00+00:00,38.8,29.0,35.52,33.9,40.0,29.1,22.0,2.86,10.4,0.0,0.0,,12,False
9550C,2026-07-28 00:00:00+00:00,34.8,27.5,31.83,31.15,46.0,31.2,22.0,5.57,12.2,0.0,0.0,,12,False
9561X,2026-07-28 00:00:00+00:00,35.9,26.4,32.16,31.15,49.0,35.6,25.0,2.91,10.1,0.0,0.0,,12,False
9562X,2026-07-28 00:00:00+00:00,30.4,21.6,27.32,26.0,66.0,51.0,38.0,4.62,9.2,0.0,0.0,,12,False
9563X,2026-07-28 00:00:00+00:00,29.1,20.9,25.79,25.0,61.0,46.2,35.0,6.9,12.4,0.0,0.0,,12,False
9569A,2026-07-28 00:00:00+00:00,38.3,27.5,33.46,32.9,41.0,29.8,19.0,2.82,8.4,0.0,0.0,543.0,12,False
9573X,2026-07-28 00:00:00+00:00,38.1,28.9,34.5,33.5,45.0,30.8,21.0,2.88,7.8,0.0,0.0,,12,False
9574B,2026-07-28 00:00:00+00:00,39.0,26.2,33.23,32.6,52.0,34.2,18.0,3.75,10.7,0.0,0.0,541.0,12,False
9585,2026-07-28 00:00:00+00:00,27.8,18.1,24.33,22.95,73.0,45.1,29.0,2.87,10.5,0.0,0.0,508.6,11,False
9590,2026-07-28 00:00:00+00:00,32.3,24.8,30.85,28.55,34.0,31.0,28.0,3.1,7.3,0.0,0.0,,2,False
9590D,2026-07-28 00:00:00+00:00,25.5,15.9,21.99,20.7,63.0,42.8,32.0,1.72,7.9,,,,13,False
9622X,2026-07-28 00:00:00+00:00,36.0,25.7,32.7,30.85,35.0,26.2,22.0,3.32,8.9,0.0,0.0,,12,False
9638D,2026-07-28 00:00:00+00:00,35.5,31.2,34.27,33.35,30.0,29.0,28.0,7.1,11.8,0.0,0.0,,3,False
9647X,2026-07-28 00:00:00+00:00,37.0,27.0,33.76,32.0,44.0,30.6,21.0,,,0.0,0.0,,11,False
9650X,2026-07-28 00:00:00+00:00,37.6,30.3,35.09,33.95,34.0,23.3,17.0,,,0.0,0.0,,10,False
9657X,2026-07-28 00:00:00+00:00,33.7,24.1,30.92,28.9,42.0,28.6,24.0,2.12,7.6,0.0,0.0,,11,False
9677,2026-07-28 00:00:00+00:00,20.5,14.9,17.82,17.7,61.0,49.8,43.0,4.02,11.8,,,,13,False
9689X,2026-07-28 00:00:00+00:00,31.8,21.1,27.52,26.45,47.0,36.3,27.0,,,0.0,0.0,,12,False
