indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
9998X,2026-07-28 00:00:00+00:00,36.2,24.0,32.47,30.1,55.0,27.2,20.0,2.88,9.5,0.0,0.0,,12,False
B013X,2026-07-28 00:00:00+00:00,31.4,22.8,28.19,27.1,89.0,64.3,39.0,0.83,5.5,0.0,0.0,,12,False
B051A,2026-07-28 00:00:00+00:00,29.6,27.2,28.67,28.4,76.0,67.0,62.0,2.41,4.7,0.0,0.0,,12,False
B087X,2026-07-28 00:00:00+00:00,31.6,26.9,29.65,29.25,74.0,63.7,56.0,1.77,4.7,0.0,0.0,,11,False
B103B,2026-07-28 00:00:00+00:00,32.5,23.8,29.63,28.15,85.0,62.8,53.0,1.64,6.8,0.0,0.0,,12,False
B158X,2026-07-28 00:00:00+00:00,30.7,25.1,29.21,27.9,76.0,62.1,57.0,0.69,,0.0,0.0,,10,False
B228,2026-07-28 00:00:00+00:00,30.0,26.8,28.7,28.4,72.0,66.9,62.0,2.96,6.7,0.0,0.0,,12,False
B228D,2026-07-28 00:00:00+00:00,,,,,,,,4.12,7.3,,,,12,False
B236C,2026-07-28 00:00:00+00:00,32.5,22.6,29.46,27.55,83.0,56.9,43.0,3.04,7.7,0.0,0.0,,12,False
B275E,2026-07-28 00:00:00+00:00,31.6,26.1,29.47,28.85,74.0,56.5,31.0,3.75,8.1,0.0,0.0,,12,False
B278,2026-07-28 00:00:00+00:00,31.0,25.3,29.12,28.15,76.0,60.4,48.0,5.18,10.8,0.0,0.0,546.0,12,False
B301,2026-07-28 00:00:00+00:00,30.9,25.1,28.88,28.0,80.0,65.9,60.0,3.21,7.0,0.0,0.0,,12,False
B334X,2026-07-28 00:00:00+00:00,34.4,25.4,30.85,29.9,73.0,55.5,46.0,,,0.0,0.0,,12,False
B341X,2026-07-28 00:00:00+00:00,33.8,24.8,30.41,29.3,74.0,52.9,42.0,3.28,8.5,0.0,0.0,,12,False
B362X,2026-07-28 00:00:00+00:00,32.7,22.4,29.77,27.55,79.0,57.1,49.0,2.26,7.4,0.0,0.0,,12,False
B373X,2026-07-28 00:00:00+00:00,31.1,26.7,29.59,28.9,70.0,60.3,53.0,3.44,7.5,0.0,0.0,,11,False
B398A,2026-07-28 00:00:00+00:00,30.7,25.5,28.32,28.1,83.0,68.8,62.0,3.32,6.6,0.0,0.0,,12,False
B410B,2026-07-28 00:00:00+00:00,31.7,26.6,29.36,29.15,73.0,62.4,57.0,2.45,6.6,0.0,0.0,,12,False
B434X,2026-07-28 00:00:00+00:00,30.3,26.9,28.68,28.6,73.0,65.7,62.0,3.48,6.4,0.0,0.0,569.0,12,False
B496X,2026-07-28 00:00:00+00:00,31.4,27.5,30.2,29.45,70.0,62.5,58.0,2.69,7.2,0.0,0.0,,11,False
B526X,2026-07-28 00:00:00+00:00,33.1,25.8,30.51,29.45,73.0,58.6,52.0,,,0.0,0.0,,11,False
B569X,2026-07-28 00:00:00+00:00,31.8,27.0,29.05,29.4,73.0,64.6,55.0,3.74,6.6,0.0,0.0,,12,False
B603X,2026-07-28 00:00:00+00:00,32.3,27.1,30.41,29.7,64.0,56.8,52.0,,,0.0,0.0,,11,False
B605X,2026-07-28 00:00:00+00:00,31.8,25.4,29.56,28.6,72.0,62.8,58.0,1.73,6.8,0.0,0.0,,12,False
B614E,2026-07-28 00:00:00+00:00,32.7,24.7,30.71,28.7,78.0,57.8,53.0,2.28,8.5,0.0,0.0,,12,False
B640X,2026-07-28 00:00:00+00:00,34.0,24.8,30.42,29.4,71.0,51.5,37.0,3.0,8.4,0.0,0.0,,12,False
B644B,2026-07-28 00:00:00+00:00,33.3,25.6,30.43,29.45,72.0,53.8,40.0,2.19,7.5,0.0,0.0,,12,False
B656A,2026-07-28 00:00:00+00:00,33.1,25.1,30.24,29.1,73.0,53.7,43.0,2.69,7.5,0.0,0.0,,12,False
B662X,2026-07-28 00:00:00+00:00,33.5,26.4,31.05,29.95,67.0,52.0,43.0,2.91,8.1,0.0,0.0,,11,False
B684A,2026-07-28 00:00:00+00:00,29.5,18.2,25.75,23.85,92.0,63.6,46.0,,,0.0,0.0,,12,False
B691Y,2026-07-28 00:00:00+00:00,33.7,25.7,30.36,29.7,70.0,56.4,43.0,2.56,8.2,0.0,0.0,517.0,12,False
B760X,2026-07-28 00:00:00+00:00,32.9,26.7,30.79,29.8,70.0,58.7,51.0,1.89,6.2,0.0,0.0,,11,False
B780X,2026-07-28 00:00:00+00:00,32.9,28.0,30.86,30.45,69.0,56.6,50.0,2.18,8.0,0.0,0.0,,11,False
B800X,2026-07-28 00:00:00+00:00,32.9,25.8,29.95,29.35,86.0,66.1,56.0,1.08,,0.0,0.0,,12,False
B825B,2026-07-28 00:00:00+00:00,31.8,25.0,29.32,28.4,75.0,57.1,43.0,2.48,7.6,0.0,0.0,,12,False
B860X,2026-07-28 00:00:00+00:00,33.4,30.4,31.98,31.9,55.0,47.2,43.0,,,0.0,0.0,,9,False
B870C,2026-07-28 00:00:00+00:00,35.4,23.3,30.36,29.35,81.0,57.1,37.0,1.67,7.0,0.0,0.0,,12,False
B893,2026-07-28 00:00:00+00:00,30.2,25.2,28.07,27.7,69.0,60.4,54.0,3.23,7.7,0.0,0.0,555.0,12,False
B908X,2026-07-28 00:00:00+00:00,33.1,25.1,30.2,29.1,77.0,56.0,46.0,,,0.0,0.0,,11,False
B925,2026-07-28 00:00:00+00:00,33.7,25.4,30.48,29.55,77.0,55.1,43.0,2.17,7.3,0.0,0.0,,12,False
B954,2026-07-28 00:00:00+00:00,30.8,26.8,28.99,28.8,74.0,62.9,58.0,3.89,8.2,0.0,0.0,574.0,12,False
B957,2026-07-28 00:00:00+00:00,31.5,26.6,29.31,29.05,77.0,66.2,60.0,3.13,6.8,0.0,0.0,,12,False
B986,2026-07-28 00:00:00+00:00,31.8,26.0,29.42,28.9,78.0,64.1,58.0,3.09,8.1,0.0,0.0,,12,False
C018J,2026-07-28 00:00:00+00:00,26.1,19.8,23.98,22.95,85.0,63.0,54.0,7.03,12.2,0.0,0.0,,11,False
C019V,2026-07-28 00:00:00+00:00,26.8,23.7,25.73,25.25,71.0,63.0,60.0,5.52,11.5,0.0,0.0,,11,False
C029O,2026-07-28 00:00:00+00:00,29.8,22.9,27.12,26.35,74.0,55.4,47.0,7.56,12.9,0.0,0.0,613.0,12,False
C029R,2026-07-28 00:00:00+00:00,27.5,21.7,25.23,24.6,80.0,60.7,53.0,6.66,13.4,0.0,0.0,,12,False
C038N,2026-07-28 00:00:00+00:00,25.9,20.3,23.42,23.1,85.0,67.2,58.0,5.78,11.2,0.0,0.0,,12,False
C048W,2026-07-28 00:00:00+00:00,24.2,20.6,22.7,22.4,86.0,72.0,65.0,6.3,13.2,0.0,0.0,,11,False
C101A,2026-07-28 00:00:00+00:00,23.6,18.1,21.06,20.85,26.0,20.9,14.0,4.62,8.7,0.0,0.0,635.0,12,False
C117A,2026-07-28 00:00:00+00:00,22.8,18.7,21.15,20.75,87.0,75.0,65.0,2.12,6.7,0.0,0.0,,12,False
C117Z,2026-07-28 00:00:00+00:00,23.3,17.7,20.5,20.5,93.0,78.5,66.0,2.64,9.3,0.0,0.0,,12,False
C126A,2026-07-28 00:00:00+00:00,26.6,20.1,24.14,23.35,78.0,62.2,55.0,3.05,7.0,0.0,0.0,,11,False
C129V,2026-07-28 00:00:00+00:00,27.4,23.9,25.98,25.65,73.0,66.0,63.0,7.46,13.1,0.0,0.0,,11,False
C129X,2026-07-28 00:00:00+00:00,25.6,19.8,22.83,22.7,87.0,71.6,64.0,3.38,8.2,0.0,0.0,,12,False
C139E,2026-07-28 00:00:00+00:00,25.9,23.4,24.76,24.65,74.0,69.9,67.0,4.97,8.2,0.0,0.0,496.0,12,False
C148F,2026-07-28 00:00:00+00:00,25.6,20.3,23.5,22.95,80.0,67.0,57.0,2.92,6.7,0.0,0.0,,11,False
C229J,2026-07-28 00:00:00+00:00,28.1,24.2,26.42,26.15,71.0,57.8,51.0,3.18,10.0,0.0,0.0,,12,False
C239N,2026-07-28 00:00:00+00:00,27.8,24.5,25.37,26.15,70.0,65.8,54.0,5.27,14.3,0.0,0.0,,12,False
C248E,2026-07-28 00:00:00+00:00,28.4,20.8,25.06,24.6,82.0,62.5,53.0,7.59,12.9,0.0,0.0,,12,False
C249I,2026-07-28 00:00:00+00:00,26.5,23.1,24.96,24.8,79.0,69.9,65.0,6.68,10.3,0.0,0.0,585.0,12,False
C258K,2026-07-28 00:00:00+00:00,26.4,21.3,24.87,23.85,82.0,65.4,59.0,3.84,9.3,0.0,0.0,,12,False
C259X,2026-07-28 00:00:00+00:00,26.0,23.0,24.25,24.5,80.0,74.9,71.0,6.27,12.3,0.0,0.0,,11,False
C314Z,2026-07-28 00:00:00+00:00,29.4,22.6,25.68,26.0,47.0,29.7,12.0,2.85,6.9,0.0,0.0,,12,False
C316I,2026-07-28 00:00:00+00:00,25.3,18.1,22.56,21.7,84.0,68.5,63.0,3.17,8.9,0.0,0.0,,10,False
C317B,2026-07-28 00:00:00+00:00,23.4,16.4,19.76,19.9,93.0,79.8,68.0,1.78,6.1,0.0,0.0,,12,False
C319W,2026-07-28 00:00:00+00:00,29.8,23.1,25.96,26.45,77.0,68.4,58.0,2.83,6.4,0.0,0.0,,11,False
C328W,2026-07-28 00:00:00+00:00,25.4,21.4,23.73,23.4,76.0,68.7,60.0,2.34,7.1,0.0,0.0,,12,False
C329Z,2026-07-28 00:00:00+00:00,26.7,24.1,25.39,25.4,67.0,58.2,54.0,4.49,12.8,0.0,0.0,,12,False
C406G,2026-07-28 00:00:00+00:00,27.6,23.0,25.92,25.3,20.0,15.2,13.0,3.35,11.8,0.0,0.0,,11,False
C419L,2026-07-28 00:00:00+00:00,25.4,20.5,23.21,22.95,86.0,71.2,63.0,2.37,6.6,0.0,0.0,534.0,12,False
C419X,2026-07-28 00:00:00+00:00,27.4,24.3,26.26,25.85,69.0,63.2,61.0,,,0.0,0.0,,8,False
C428T,2026-07-28 00:00:00+00:00,25.4,21.2,24.11,23.3,80.0,67.9,62.0,5.44,11.4,0.0,0.0,,10,False
C429I,2026-07-28 00:00:00+00:00,28.4,23.6,26.45,26.0,72.0,61.2,54.0,8.79,14.9,0.0,0.0,613.0,12,False
C430E,2026-07-28 00:00:00+00:00,25.9,19.6,23.35,22.75,19.0,14.7,12.0,2.87,9.7,0.0,0.0,625.9,12,False
C438N,2026-07-28 00:00:00+00:00,24.5,20.4,22.79,22.45,76.0,67.1,60.0,3.61,8.2,0.0,0.0,,11,False
C439J,2026-07-28 00:00:00+00:00,26.6,22.8,24.69,24.7,70.0,63.8,54.0,6.18,12.4,0.0,0.0,,12,False
C446G,2026-07-28 00:00:00+00:00,21.2,15.3,18.04,18.25,98.0,84.5,71.0,6.37,14.4,0.0,0.0,,12,False
C447A,2026-07-28 00:00:00+00:00,24.0,18.2,21.18,21.1,92.0,75.2,65.0,7.85,13.4,0.0,0.0,605.0,12,False
C449C,2026-07-28 00:00:00+00:00,29.9,24.4,27.65,27.15,58.0,46.8,39.0,3.13,10.6,0.0,0.0,621.3,12,False
C449F,2026-07-28 00:00:00+00:00,28.2,25.1,27.14,26.65,60.0,56.3,53.0,4.29,12.0,0.0,0.0,,9,False
C457I,2026-07-28 00:00:00+00:00,22.5,17.5,20.82,20.0,83.0,75.9,68.0,2.81,6.6,0.0,0.0,,12,False
C458A,2026-07-28 00:00:00+00:00,25.0,20.8,23.1,22.9,79.0,70.9,61.0,3.62,9.7,0.0,0.0,,11,False
C458Z,2026-07-28 00:00:00+00:00,23.1,20.0,21.35,21.55,83.0,74.8,66.0,2.28,6.3,0.0,0.0,,12,False
C468X,2026-07-28 00:00:00+00:00,20.7,17.2,18.41,18.95,98.0,91.6,86.0,2.55,7.3,0.0,0.0,,12,False
C469E,2026-07-28 00:00:00+00:00,25.8,22.8,24.13,24.3,75.0,70.7,66.0,4.11,7.8,0.0,0.0,,12,False
C611E,2026-07-28 00:00:00+00:00,29.2,21.3,26.85,25.25,35.0,23.2,13.0,1.98,5.4,0.0,0.0,,12,False
C612F,2026-07-28 00:00:00+00:00,27.1,22.3,24.96,24.7,51.0,35.0,14.0,1.5,4.5,,,,12,False
C614H,2026-07-28 00:00:00+00:00,30.2,22.2,26.74,26.2,59.0,39.1,26.0,1.32,5.3,0.0,0.0,,12,False
C619X,2026-07-28 00:00:00+00:00,27.0,24.1,25.78,25.55,71.0,64.3,59.0,6.7,13.1,0.0,0.0,,12,False
C619Y,2026-07-28 00:00:00+00:00,26.9,23.4,25.35,25.15,70.0,61.6,56.0,9.08,17.6,0.0,0.0,607.0,12,False
C623I,2026-07-28 00:00:00+00:00,27.9,24.1,26.53,26.0,58.0,48.9,33.0,1.58,5.6,0.0,0.0,,12,False
C625O,2026-07-28 00:00:00+00:00,28.3,22.2,26.07,25.25,67.0,58.2,52.0,1.76,7.1,0.0,0.0,,12,False
C628B,2026-07-28 00:00:00+00:00,32.0,23.3,27.95,27.65,67.0,55.5,46.0,4.74,9.4,0.0,0.0,,12,False
C629Q,2026-07-28 00:00:00+00:00,25.5,23.2,23.89,24.35,80.0,77.2,71.0,3.61,7.3,,,,12,False
C629X,2026-07-28 00:00:00+00:00,26.0,23.0,24.56,24.5,77.0,72.5,67.0,3.41,8.5,0.0,0.0,,12,False
C635B,2026-07-28 00:00:00+00:00,30.2,23.6,27.56,26.9,60.0,48.4,42.0,1.36,5.3,0.0,0.0,,11,False
C639M,2026-07-28 00:00:00+00:00,28.7,23.9,26.5,26.3,75.0,63.8,58.0,2.84,8.2,0.0,0.0,,12,False
C639U,2026-07-28 00:00:00+00:00,28.4,23.2,26.33,25.8,70.0,60.2,54.0,7.48,15.3,0.0,0.0,,12,False
C648C,2026-07-28 00:00:00+00:00,28.3,24.1,26.6,26.2,63.0,55.0,50.0,8.11,15.6,0.0,0.0,,11,False
C648N,2026-07-28 00:00:00+00:00,27.7,20.6,25.03,24.15,72.0,58.7,51.0,5.52,11.5,0.0,0.0,,12,False
C649I,2026-07-28 00:00:00+00:00,27.9,23.1,25.85,25.5,73.0,62.2,55.0,12.18,17.5,0.0,0.0,608.0,12,False
C649R,2026-07-28 00:00:00+00:00,27.2,23.2,25.62,25.2,70.0,62.1,56.0,5.47,10.8,0.0,0.0,,12,False
C656V,2026-07-28 00:00:00+00:00,24.2,17.0,21.55,20.6,93.0,75.2,66.0,2.26,6.1,0.0,0.0,,11,False
C658X,2026-07-28 00:00:00+00:00,25.4,20.7,23.56,23.05,85.0,71.2,64.0,3.96,8.5,0.0,0.0,,12,False
C659M,2026-07-28 00:00:00+00:00,26.1,23.4,24.57,24.75,73.0,66.3,61.0,3.28,8.3,0.0,0.0,,12,False
C665T,2026-07-28 00:00:00+00:00,23.4,16.7,20.96,20.05,92.0,73.7,64.0,1.76,4.6,0.0,0.0,,11,False
C668V,2026-07-28 00:00:00+00:00,25.3,21.3,23.81,23.3,76.0,67.6,64.0,7.15,13.9,0.0,0.0,,11,False
C669B,2026-07-28 00:00:00+00:00,26.3,23.0,25.12,24.65,77.0,68.6,64.0,2.38,5.7,0.0,0.0,,11,False
C689E,2026-07-28 00:00:00+00:00,27.3,23.8,25.11,25.55,78.0,73.4,68.0,3.15,7.8,0.0,0.0,,12,False
C839X,2026-07-28 00:00:00+00:00,27.0,22.5,25.18,24.75,77.0,63.1,56.0,6.2,10.5,0.0,0.0,513.0,12,False
C916Q,2026-07-28 00:00:00+00:00,23.8,19.0,20.82,21.4,81.0,65.5,32.0,2.3,6.3,0.0,0.0,,11,False
C917E,2026-07-28 00:00:00+00:00,23.3,17.0,20.5,20.15,93.0,77.3,64.0,2.47,12.0,0.0,0.0,,12,False
C919K,2026-07-28 00:00:00+00:00,25.5,23.1,24.25,24.3,75.0,69.2,64.0,3.1,6.2,0.0,0.0,,11,False
C925F,2026-07-28 00:00:00+00:00,21.5,14.7,18.59,18.1,93.0,69.9,51.0,4.6,9.2,0.0,0.0,,12,False
C928I,2026-07-28 00:00:00+00:00,20.6,17.4,19.37,19.0,95.0,81.4,76.0,5.77,10.8,0.0,0.0,,11,False
C929I,2026-07-28 00:00:00+00:00,25.7,22.8,24.28,24.25,79.0,73.2,70.0,6.18,10.8,0.0,0.0,569.0,12,False
C939T,2026-07-28 00:00:00+00:00,26.9,23.8,24.92,25.35,74.0,71.1,67.0,2.58,7.2,0.0,0.0,,9,False
