indicativo,lat,lon,alt,ubi
5470,37.753056,-5.100552,120.0,FUENTE PALMERA-LOS ARROYONES
5473X,38.267805,-5.686015,581.0,AZUAGA (AUTOMATICA)
5511,37.064444,-3.371389,3091.67,PRADOLLANO  PARQUE NACIONAL SIERRA NEVADA
5514Z,37.136107,-3.633331,695.0,GRANADA/BASE AÉREA
5515D,37.236944,-3.550556,1258.0,EVC_VÍZNAR
5515X,37.18972,-3.59555,775.0,GRANADA-CARTUJA
5516D,37.063056,-3.386944,2856.0,SIERRA NEVADA - RADIOTELESCOPIO
5530E,37.190293,-3.789774,560.12,GRANADA/AEROPUERTO
5582A,37.161109,-4.152781,760.0,LOJA
5598X,37.230931,-4.547788,465.0,BENAMEJÍ-ALCACHOFARES ALTOS
5612B,37.194443,-4.769994,410.0,RODA DE ANDALUCÍA
5612X,37.270277,-4.82695,450.0,LORA DE ESTEPA (AUTOMATICA)
5624X,37.481945,-4.685919,309.0,AGUILAR (LAGUNA ZOÑAR AUTOMATICA)
5625X,37.638525,-4.763865,200.0,LA RAMBLA   PRIVILEGIO
5641X,37.516226,-5.085113,130.0,ECIJA
5654X,37.786804,-5.37114,200.0,LA PUEBLA DE LOS INFANTES
5656,37.497222,-5.433058,165.0,FUENTES DE ANDALUCIA  EL TRAVIESO
5702X,37.565485,-5.740475,50.0,CARMONA  VILLEGAS
5704B,37.926389,-5.769728,550.0,CAZALLA DE LA SIERRA
5726X,38.099445,-5.81917,720.0,GUADALCANAL  CRISTO
5733X,37.791114,-6.074995,450.0,ALMADEN PLATA (LAS NAVAS AUTOMATICA)
5769X,37.973609,-6.322225,618.0,CALA
5783,37.416667,-5.879167,34.0,SEVILLA/SAN PABLO
5788X,37.361667,-6.059722,84.0,Tomares  Zaudín
5790Y,37.364249,-6.005918,9.0,TABLADA
5796,37.164529,-5.611474,87.0,MORÓN DE LA FRONTERA
5835X,37.360002,-6.334168,76.0,CARRION DE LOS CESPEDES
5860E,37.097942,-6.738088,41.0,EL ARENOSILLO
5860H,37.051946,-6.555004,35.0,EVC_DOÑANA
5906X,36.75,-6.400558,10.0,CHIPIONA  ECA
5910X,36.638879,-6.332591,21.0,ROTA BASE NAVAL
5911A,36.76044,-5.37403,913.0,GRAZALEMA
5911X,36.760278,-5.375,935.0,GRAZALEMA-HELIPUERTO
5919X,36.931669,-5.259446,530.0,OLVERA-COOP.AGRÍCOLA
5941X,36.729446,-5.512225,295.0,EL BOSQUE  SAN JOSÉ
5950X,36.663888,-5.783332,105.0,SAN JOSE DEL VALLE-PT GUADALCACÍN
5960,36.750495,-6.055857,27.0,JEREZ DE LA FRONTERA/AEROPUERTO
5972X,36.465556,-6.205557,28.0,SAN FERNANDO
5972Y,36.462883,-6.206294,23.6,SAN FERNANDO ROA
5973,36.499722,-6.257861,2.0,CÁDIZ  OBSERVATORIO
5983X,36.406111,-5.920278,70.0,MEDINA SIDONIA (EL HUNDIDO - AUTOMATICA)
5996B,36.184722,-5.909444,4.0,BARBATE  DEPURADORA
5998X,37.243336,-5.112503,255.0,OSUNA  SEA
6000A,35.276325,-2.95638,52.0,MELILLA
6001,36.014396,-5.597174,45.0,TARIFA
6032X,36.749997,-5.168615,760.0,RONDA  IES
6040X,36.544447,-5.386393,315.0,CORTES DE LA FRONTERA
6042I,36.435607,-5.394945,42.0,JIMENA DE LA FRONTERA-EL DORADO
6045X,36.632501,-5.20306,676.0,ALPANDEIRE
6050X,36.51861,-5.318613,594.0,GAUCÍN
6056X,36.273056,-5.284446,1.0,SAN ROQUE  SOTOGRANDE
6057X,36.378333,-5.26,140.0,MANILVA
6058I,36.416954,-5.154988,19.0,ESTEPONA
6069X,36.543613,-5.024724,392.0,BENAHAVIS (LA ZAGALETA - AUTOMATICA)
6076X,36.484445,-4.953051,2.0,MARBELLA (PUERTO BANUS - AUTOMATICA)
6083X,36.483333,-4.740278,2.0,MARBELLA  CABOPINO
6088X,36.620554,-4.514998,85.0,TORREMOLINOS
6100B,37.023611,-4.562222,515.0,ANTEQUERA
6106X,37.03,-4.749722,408.0,ANTEQUERA-BOBADILLA
6127X,36.854723,-4.69667,172.0,ÁLORA  LAS PELONAS
6143X,36.65778,-4.760827,230.0,COIN (AUTOMATICA)
6155A,36.666118,-4.482307,6.54,MÁLAGA/AEROPUERTO
6156X,36.717784,-4.48167,54.0,MÁLAGA  CENTRO METEOROLÓGICO
6172Y,36.7075,-4.427222,5.5,MÁLAGA PUERTO  OCEANOGRÁFICO
6175X,36.715046,-4.286128,7.0,RINCON DE LA VICTORIA (AUTOMATICA)
6199X,36.768611,-4.093611,41.0,VELEZ MALAGA (AUTOMATICA)
6201X,36.755836,-4.043892,35.0,ALGARROBO (LA MAYORA - AUTOMATICA)
6205X,36.726384,-3.95722,3.0,TORROX FARO
6213X,36.762776,-3.845275,169.0,NERJA (CUEVAS DE NERJA - AUTOMATICA)
6248D,36.952222,-3.430278,1732.11,CAÑAR  PARQUE NACIONAL SIERRA NEVADA
6258X,36.923056,-3.4925,708.0,LANJARÓN
6267X,36.748335,-3.578623,20.0,SALOBREÑA
6268Y,36.724011,-3.529267,3.0,MOTRIL PUERTO NAÚTICO
6272X,36.734297,-3.380008,235.0,CASTELL DEL FERRO
6277C,36.748056,-3.030833,25.5,ADRA FARO
6281X,37.005384,-3.071395,1020.0,VÁLOR
6291B,36.774719,-2.81305,98.0,EL EJIDO (AYUNTAMIENTO - AUTOMATICA)
6293X,36.68694,-2.701667,3.0,ROQUETAS DE MAR-FARO SABINAR
6299I,37.095833,-2.964444,2300.27,LAGUNA SECA  PARQUE NACIONAL SIERRA NEVADA
6302X,37.153056,-2.78,831.5,ABLA
6307C,37.052997,-2.897216,1713.43,LAÚJAR  PARQUE NACIONAL SIERRA NEVADA
6307X,37.033209,-2.912377,1510.0,LAUJAR DE ANDARAX
6312E,37.020944,-2.677185,601.13,RÁGOL  PARQUE NACIONAL SIERRA NEVADA
6325O,36.846344,-2.356931,21.0,ALMERÍA/AEROPUERTO
6335O,37.109932,-2.699181,969.93,NACIMIENTO  PARQUE NACIONAL SIERRA NEVADA
6340X,37.169278,-1.828511,28.5,GARRUCHA
6364X,37.40659,-2.151523,508.0,ALBOX
6367X,37.423611,-1.912222,326.5,HUERCAL OVERA
6375X,37.132343,-4.742002,420.0,FUENTE DE PIEDRA 
7002Y,37.417241,-1.586878,32.0,ÁGUILAS
7007Y,37.588056,-1.230556,66.0,MAZARRÓN/LAS TORRES
7012D,37.604444,-1.023333,55.61,CARTAGENA - TENTEGORRA
7012X,37.601389,-0.990278,2.0,CARTAGENA
7019X,37.635833,-0.715556,2.5,CARTAGENA/SALINAS CABO PALOS
7023X,37.726478,-1.167175,140.0,FUENTE ALAMO
7026X,37.738884,-0.967505,50.0,TORRE PACHECO (C.C.A. AUT.)
7031X,37.778332,-0.805916,4.0,MURCIA/SAN JAVIER
7066Y,38.393333,-2.218889,680.0,EMBALSE DE LA FUENSANTA (AUTOMÁTICA)
7067Y,38.088419,-2.412981,1485.0,CAÑADAS DEL NERPIO
7072Y,38.294995,-2.293887,960.0,SEGE
7080X,38.268337,-1.986391,955.0,BENIZAR
7096B,38.541991,-1.70294,604.57,HELLÍN
7103Y,38.588059,-1.68944,615.0,TOBARRA
7119B,38.103131,-1.877167,643.0,CARAVACA FUENTES DEL MARQUÉS
7121A,38.234167,-1.702227,350.0,CALASPARRA
7127X,38.049198,-1.695334,690.0,BULLAS
7138B,38.458887,-1.335282,485.0,JUMILLA  EL ALBAL
7145X,38.26,-1.435,230.0,CIEZA
7158X,38.128057,-1.305839,150.0,ARCHENA
7168X,38.052778,-1.466111,319.5,MULA EDAR
7178I,38.002004,-1.170836,61.84,MURCIA
7195X,37.926002,-2.058228,985.0,CARAVACA (LOS ROYOS- AUT.)
7203A,37.844698,-1.869755,646.0,ZARCILLA DE RAMOS
7209,37.656389,-1.687314,312.0,LORCA
7211B,37.568051,-1.797223,445.0,PUERTO LUMBRERAS
7218Y,37.758556,-1.5127,281.0,TOTANA
7227X,37.86167,-1.334725,157.0,ALHAMA (COMARZA - AUT.)
7237E,38.13889,-1.158615,170.0,MOLINA DE SEGURA (LOS VALIENTES)
7244X,38.067797,-0.981414,26.0,ORIHUELA DESAMPARADOS
7247X,38.399586,-1.037968,577.0,PINOSO
7250C,38.194389,-1.033817,174.0,ABANILLA
7261X,38.088036,-0.715258,31.0,ROJALES  EL MOLINO
7275C,38.601796,-1.159669,640.0,YECLA
8005X,38.779987,-0.795955,622.0,FONTANARS - CASA DELS CUPS
8008Y,38.576968,-0.865595,486.0,VILLENA
8013X,38.385629,-0.757713,233.0,NOVELDA
8018X,38.287435,-0.680643,110.0,ELCHE/ALTABIX
8019,38.282778,-0.57083,43.0,ALICANTE-ELCHE/AEROPUERTO
8025,38.3725,-0.494167,80.66,ALICANTE
8036Y,38.543655,-0.137786,35.6,BENIDORM (PARC LES FOIETES)
8050X,38.784167,0.166667,15.0,JÁVEA  AYUNTAMIENTO
8057C,38.846738,-0.118261,60.0,PEGO
8058X,38.904444,-0.065,1.0,OLIVA
8058Y,38.950299,-0.137697,12.0,MIRAMAR
8059C,38.710917,-0.460071,530.0,ALCOY
8072Y,39.016938,-0.304725,340.0,BARX
8096,40.067222,-2.131944,948.52,CUENCA
8155Y,39.555278,-1.915278,830.0,MOTILLA DEL PALANCAR
8175,38.954167,-1.856389,702.0,ALBACETE/LOS LLANOS
8177A,38.937599,-1.658812,880.0,CHINCHILLA/CENAD
8178D,39.005577,-1.862335,674.11,ALBACETE OBS.
8191Y,39.198747,-1.435505,680.0,LAS ERAS
8193E,39.208415,-1.094403,372.0,JALANCE
8198Y,38.850552,-1.063051,710.0,ALMANSA
8203O,39.083056,-1.101111,855.95,EVC_ZARRA
8210Y,40.103096,-1.503605,1160.0,SALVACAÑETE
8245Y,39.714376,-1.442571,815.0,MIRA
8270X,39.133611,-0.79,305.0,BICORP
8283X,38.829441,-0.607676,350.0,ONTINYENT
8293X,39.001667,-0.523056,88.0,XÁTIVA
8300X,39.113382,-0.445908,25.0,CARCAIXENT
8309X,39.575455,-1.244795,758.0,UTIEL  LA CUBERA
8325X,39.183889,-0.371389,11.0,POLINYA
8328X,39.311944,-0.355833,0.0,SOLLANA
8337X,39.392139,-0.624616,186.0,TURIS
8354X,40.41972,-1.44139,1130.0,ALBARRACÍN
8368U,40.350714,-1.124132,901.67,TERUEL
8376,40.236114,-1.411672,1430.0,JABALOYAS  DEPÓSITO
8381X,40.060558,-1.283573,705.0,ADEMUZ
8395X,39.753331,-0.993611,515.0,CHELVA
8409X,39.664008,-0.653993,198.0,LLIRIA
8414A,39.485015,-0.474677,55.9,VALENCIA/AEROPUERTO
8416,39.480556,-0.366389,13.0,VALENCIA DT
8433X,39.911389,-0.703056,759.0,BEJÍS
8439X,39.795551,-0.485282,400.0,SEGORBE  MASIA HOYA
8446Y,39.700806,-0.258878,24.0,SAGUNTO (MONTIVER PONTAZGO - SEMIAUTOMATICA)
8458X,40.430517,-0.849428,1380.0,CEDRILLAS  ANTENAS
8472A,40.087706,-0.54685,601.0,ARENOS-PANTANO
8486X,40.362515,-0.454339,1515.0,MOSQUERUELA  DEPÓSITO
8489X,40.433217,-0.255675,1130.0,VILLAFRANCA
8492X,40.227141,-0.169683,420.0,ATZENETA DEL MAESTRAT
8500A,39.95728,-0.071967,43.39,CASTELLÓN-ALMASSORA
8503Y,40.2113,0.18354,35.0,TORREBLANCA AYUNTAMIENTO (C.AGRARIA LOCAL)
8518X,40.541667,0.437222,93.0,VINARÒS-VIVEROS ALCANAR
8520X,40.693717,0.165221,1165.0,FREDES
9001D,42.991884,-4.160594,870.0,NESTARES
9001S,43.036665,-4.374447,1650.0,Alto Campoo
9012E,42.951334,-3.95718,915.0,SANTA GADEA DE ALFOZ
9016X,42.809724,-4.032219,770.0,CUBILLO DE EBRO
9019X,42.805556,-3.945556,731.0,POLIENTES (VALDERREDIBLE)
9031C,42.559526,-3.30879,730.0,BRIVIESCA
9051,42.919901,-3.482685,580.0,MEDINA DE POMAR
9060X,42.875217,-3.231729,910.0,LALASTRA
9069C,42.687159,-2.960608,460.0,MIRANDA DE EBRO
9073X,42.829832,-2.359745,660.0,AGURAIN/SALVATIERRA  OPAKUA
9091R,42.871934,-2.732913,513.0,VITORIA-GASTEIZ AEROPUERTO
9111,42.421116,-3.170282,820.0,BELORADO
9115X,42.255,-2.968056,1630.0,VALDEZCARAY
9121X,42.575277,-2.854717,465.0,HARO 
9122I,42.603889,-2.776667,612.0,LABASTIDA
9136X,42.230834,-2.871106,1006.0,ANGUIANO  VALVANERA 
9141V,42.414027,-2.726758,500.0,NÁJERA
9145X,42.567243,-2.632837,575.0,LEZA
9145Y,42.48278,-2.63944,429.0,CENICERO 
9170,42.452342,-2.331024,353.0,LOGROÑO  AEROPUERTO
9171K,42.570417,-2.183774,470.0,LOS ARCOS
9178X,42.670656,-2.346127,570.0,CAMPEZO/KANPEZU
9188,42.149501,-2.273211,855.0,ENCISO  DEPÓSITO
9195C,42.793056,-0.505278,2275.6,ASTÚN - LA RACA
9198X,42.749527,-0.51604,1197.0,CANFRANC
9201X,42.579753,-0.545044,832.19,JACA
9207,42.740661,-0.750538,860.0,VALLE DE HECHO  HECHO-DEPÓSITO
9208E,42.708611,-0.672778,1025.0,ARAGÜÉS DEL PUERTO  DEPÓSITO
9211F,42.514168,-0.817243,722.0,BAILO PUYALTO
9218A,42.8625,-0.924622,838.0,ISABA/IZABA
9228J,42.89624,-1.300216,635.0,OROZ-BETELU/OROTZ-BETELU  DEPÓSITO
9228T,43.007878,-1.325557,947.0,RONCESVALLES/ORREAGA
9238X,42.7175,-1.117222,612.0,NAVASCUÉS/NABASKOZE
9244X,42.490833,-1.213333,626.0,SOS DEL REY CATÓLICO
9245X,42.521388,-1.366381,440.0,CÁSEDA  DEPÓSITO
9252X,42.489168,-1.655553,390.0,OLITE/ERRIBERRI
9257X,42.970555,-1.516946,615.0,ESTERIBAR  EMBALSE DE EUGI
9262P,42.70125,-1.49567,585.0,MONREAL/ELO  DEPÓSITO
9263D,42.776952,-1.649869,459.0,PAMPLONA  AEROPUERTO
9263X,42.776102,-1.532487,572.0,ARANGUREN  ILUNDAIN
9274X,42.918846,-1.835118,432.0,IRURTZUN
9280B,42.549445,-1.857382,375.0,LARRAGA
9287A,42.026458,-2.230789,1096.0,SAN PEDRO MANRIQUE
9293X,42.176133,-1.743811,371.3,ALFARO  LA PLANA - DEPÓSITO
9294E,42.198543,-1.475169,295.0,BARDENAS REALES  BASE AÉREA
9299X,41.914866,-1.723337,475.0,TARAZONA
9301X,41.95889,-1.690554,410.0,MONTEAGUDO
9302Y,42.055556,-1.609444,297.0,TUDELA  
9311X,41.842,-1.5416,520.0,BORJA  LOS LLANOS
9321Y,42.134424,-1.132315,344.5,EJEA DE LOS CABALLEROS  ERAS ALTAS
9336D,41.984173,-0.995737,543.0,CASTEJÓN DE VALDEJASA  DEPÓSITO
9344C,41.216473,-2.292964,863.0,ARCOS DE JALÓN-COEX
9352A,41.574635,-2.140382,1000.0,ALMAZUL
9354X,41.292998,-1.895265,703.0,ALHAMA DE ARAGÓN  DEPÓSITO
9374X,40.566671,-1.320827,1000.0,SANTA EULALIA  DEL CAMPO
9377Y,40.778609,-1.568336,1185.0,EL PEDREGAL
9381I,40.926112,-1.293327,883.96,CALAMOCHA
9390,41.114444,-1.41,774.33,DAROCA 
9394X,41.331041,-1.645297,582.0,CALATAYUD  DEPÓSITO
9427X,41.481115,-1.380829,370.0,LA ALMUNIA DE DOÑA GODINA
9434,41.660556,-1.004167,249.0,ZARAGOZA  AEROPUERTO
9434P,41.621111,-0.934722,258.0,ZARAGOZA  VALDESPARTERA
9436X,40.995371,-1.087365,1255.0,FONFRÍA
9445L,42.762405,-0.392704,1800.0,FORMIGAL  SARRIOS
9451F,42.704444,-0.275278,1850.0,PANTICOSA  PETROSOS
9453X,42.699238,-0.319003,1100.0,BIESCAS  EMBALSE DE BÚBAL
9460X,42.512778,-0.35556,775.0,SABIÑÁNIGO
9491X,42.029356,-0.585964,390.0,ALMUDÉVAR
9495Y,41.796793,-0.617331,405.0,LECIÑENA
9501X,41.443134,-0.885947,535.0,VALMADRID
9510X,41.429172,-0.503955,205.0,QUINTO
9513X,41.031217,-0.805655,800.0,MUNIESA
9531Y,40.828611,-0.792778,895.0,MONTALBÁN
9546B,41.171966,-0.441907,305.0,HÍJAR  DEPÓSITO
9550C,40.974356,-0.407693,762.0,ANDORRA  HORCALLANA
9561X,40.798426,-0.315396,755.0,CASTELLOTE  DEPÓSITO
9562X,40.621663,-0.101819,990.0,MORELLA - PASEO ALAMEDA
9563X,40.498608,-0.186663,1225.0,CASTELLFORT
9569A,40.946555,-0.237653,466.0,CALANDA
9573X,41.058038,-0.141596,334.0,ALCAÑIZ
9574B,41.2425,-0.068611,215.0,CASPE  PLANA DEL PILÓN
9585,42.332502,1.939446,1699.12,LA MOLINA
9590,42.362116,1.693256,1038.0,MARTINET
9590D,42.430278,1.6675,1940.0,CAP DE REC
9622X,42.339606,1.404289,801.0,LA SEU D'URGELL  AEROPORT
9638D,42.154449,1.311946,609.0,COLL DE NARGÓ
9647X,41.805836,1.395552,435.0,TORÀ
9650X,41.881389,1.108615,400.0,ARTESA DE SEGRE
9657X,42.62511,1.126203,952.0,ESTERRI D?ANEU
9677,42.410009,1.214647,2410.0,PORT AINE  L?ORRI
9689X,42.466384,0.990837,1273.0,CABDELLA-CENTRAL
9698U,42.204722,0.864722,807.0,TALARN
9707,42.066942,0.907217,515.0,LLIMIANA
9718X,41.681109,1.223051,463.0,TORDERA - GRANYANELLA
9724X,41.873334,0.756111,520.0,OS DE BALAGUER
9726E,41.557221,1.309439,657.0,LLORAC
9729X,41.616943,0.866659,252.0,MOLLERUSSA
9744B,42.503332,0.798893,1089.0,BARRUERA
9751,42.318612,0.746943,760.0,SOPEIRA
9756X,42.112498,0.479998,765.0,BENABARRE
9771C,41.626108,0.598058,185.83,LLEIDA
9772X,41.366114,0.913608,673.0,LA POBLA DE CERVOLES
9775X,41.413609,0.67833,392.0,EL SOLERÀS
9776D,41.393889,0.734722,495.0,EVC_ELS TORMS
9808X,42.421667,0.138052,610.0,AÍNSA-SOBRARBE  LA SERRETA-DEPÓSITO
9812M,42.655344,-0.099133,1206.0,PARADOR ORDESA-PARQUE NACIONAL ORDESA Y MONTEPERDIDO
9814I,42.656111,-0.124444,1905.0,TORLA-ORDESA  EL CEBOLLAR
9814X,42.637589,-0.111944,1076.0,TORLA-ORDESA  DEPÓSITO
9838B,42.599444,0.520556,1120.0,BENASQUE
9839V,42.555,0.543056,2374.4,CERLER  COGULLA
9843A,42.476948,0.434167,825.0,SEIRA
9855E,42.201391,0.466105,600.0,CAPELLA  LAGUARRES
9866C,42.02139,0.140556,305.0,BARBASTRO
9882X,42.202222,-0.123056,721.0,BIERGE  YASO
9894Y,41.799297,-0.160778,300.0,SARIÑENA  DEPÓSITO
9898,42.084556,-0.325555,546.0,HUESCA  AEROPUERTO
9901X,42.138891,-0.394996,463.0,HUESCA
9908X,41.77389,-0.333059,380.0,LANAJA  DEPÓSITO
9911X,41.619446,0.187782,178.0,BALLOBAR  DEPÓSITO
9918Y,41.780835,0.376949,218.0,TAMARITE DE LITERA  LA MELUSA
9924X,41.524719,0.355555,170.0,FRAGA
9935X,40.873335,0.146389,483.0,VALDERROBRES 
9946X,40.953057,0.311668,495.0,HORTA DE SANT JOAN
9947X,41.177218,0.353329,370.0,MASSALUCA
9961X,41.249443,0.735283,363.0,CABACÉS
9975X,41.005001,0.613616,112.0,RASQUERA
9981A,40.820278,0.493333,49.92,TORTOSA
9987P,40.699167,0.809722,1.0,SANT JAUME D'ENVEJA
9988B,42.691958,0.973793,2467.0,CAP DE VAQUEIRA
9990X,42.700278,0.876944,1161.0,ARTIES
9994X,42.776109,0.689719,722.0,BOSSOST-CENTRAL
9995Y,43.091114,-1.300831,334.0,VALCARLOS/LUZAIDE
9998X,40.921392,-1.494444,1006.0,BELLO
B013X,39.823337,2.885828,490.0,LLUC
B051A,39.795554,2.691486,5.0,SÓLLER
B087X,39.689166,2.512777,60.0,BANYALBUFAR 
B103B,39.579472,2.368936,52.0,ANDRATX - SANT ELM
B158X,39.551468,2.466476,50.0,ES CAPDELLÀ- SON VIC NOU 
B228,39.554258,2.625268,3.0,PALMA-PORTOPÍ
B228D,39.5525,2.638889,7.0,PALMA DIC DE L?OEST
B236C,39.642164,2.643755,95.0,PALMA-UNIVERSITAT
B275E,39.605833,2.706667,47.0,SON BONET  AEROPUERTO
B278,39.560798,2.736706,5.1,PALMA DE MALLORCA/SON SANT JOAN
B301,39.379721,2.785002,113.0,LLUCMAJOR-RADAR
B334X,39.495556,2.891662,140.0,LLUCMAJOR II
B341X,39.506111,3.005556,149.4,PORRERES-SA MESQUIDA
B362X,39.405835,3.064166,40.0,CAMPOS-CAN SION 
B373X,39.351142,3.011862,3.0,CAMPOS-SALINES  LEVANT
B398A,39.135485,2.936671,164.66,CABRERA  PARQUE NACIONAL DE CABRERA
B410B,39.340052,3.145785,45.0,SANTANYÍ
B434X,39.414531,3.271683,21.45,PORTOCOLOM
B496X,39.630274,3.383603,25.0,SON SERVERA-CAN PEP MONJO
B526X,39.68861,3.351112,110.0,ARTÀ-MOLI D?EN LEU 
B569X,39.716695,3.478002,57.0,CAPDEPERA-FARO
B603X,39.723181,3.278571,99.0,COLÒNIA SANT PERE-CAN MENGOL
B605X,39.796665,3.104721,2.0,MURO-S?ALBUFERA 
B614E,39.556824,3.21778,100.0,MANACOR-POLIESPORTIU
B640X,39.616461,3.1212,94.9,PETRA
B644B,39.643265,3.002128,120.0,SINEU-POLIESPORTIU
B656A,39.652474,2.800156,121.0,SANTA MARÍA
B662X,39.677962,2.873775,105.0,BINISSALEM-SA VINYOTA
B684A,39.792778,2.787778,842.0,ESCORCA-SON TORRELLA
B691Y,39.749165,3.01667,32.0,SA POBLA-SA CANOVA
B760X,39.876942,3.024159,45.0,POLLENÇA-POLIESPORTIU
B780X,39.909447,3.100277,2.0,PORT POLLENÇA-AERODROM 
B800X,39.876111,4.323889,78.0,EVC_MAÓ
B825B,39.990554,4.086385,80.0,MERCADAL
B860X,39.992774,3.853866,20.0,CIUTADELLA-SON QUIM 
B870C,39.944787,3.956643,43.0,CIUTADELLA-CALA GALDANA
B893,39.854726,4.215556,91.0,MENORCA/AEROPUERTO
B908X,39.05611,1.492503,110.0,SANT JOAN DE LABRITJA 
B925,38.963056,1.321389,32.0,SANT ANTONI DE PORTMANY
B954,38.876385,1.384446,6.0,IBIZA/ES CODOLÁ
B957,38.922639,1.441516,3.0,EIVISSA
B986,38.693709,1.463528,24.0,FORMENTERA
C018J,28.969726,-13.690277,376.0,TIAS-LAS VEGAS
C019V,28.858884,-13.834999,6.0,YAIZA-PLAYA BLANCA
C029O,28.951943,-13.600279,14.0,LANZAROTE/AEROPUERTO
C029R,29.001111,-13.558055,107.58,ARRECIFE - GRANJA CABILDO
C038N,29.143611,-13.489167,277.0,HARÍA-CEMENTERIO
C048W,29.0425,-13.680833,275.0,TINAJO-LOS DOLORES
C101A,28.755833,-17.895278,2223.0,ROQUE DE LOS MUCHACHOS
C117A,28.760556,-17.985556,684.0,PUNTAGORDA
C117Z,28.674722,-17.936667,733.0,TIJARAFE-MIRADOR TIME
C126A,28.653889,-17.853056,844.0,EL PASO-C.F.
C129V,28.455,-17.841111,19.0,FUENCALIENTE-SALINAS
C129X,28.590278,-17.894167,380.71,LAS MANCHAS  ARIDANE
C139E,28.633056,-17.755005,33.0,LA PALMA/AEROPUERTO
C148F,28.804722,-17.782222,362.0,SAUCES-S.ANDRÉS-BALSA ADEYAHAME
C229J,28.04904,-14.358002,15.0,PÁJARA-PUERTO MORRO JABLE
C239N,28.208611,-14.023056,1.0,TUINEJE-PUERTO GRAN TARAJAL
C248E,28.416944,-14.019167,252.0,ANTIGUA-EL CARBÓN
C249I,28.44472,-13.863055,25.0,FUERTEVENTURA/AEROPUERTO
C258K,28.6125,-13.931667,217.0,LA OLIVA (CARRETERA DEL COTILLO)
C259X,28.740556,-13.863056,6.0,LA OLIVA-PUERTO DE CORRALEJO
C314Z,28.106944,-17.249167,1474.0,VALLEHERMOSO-ALTO IGUALERO
C316I,28.128333,-17.315,916.0,ARURE CEMENTERIO
C317B,28.178889,-17.213056,765.0,AGULO-JUEGO BOLAS
C319W,28.054167,-17.306389,190.0,VALLEHERMOSO-DAMA
C328W,28.163611,-17.194167,252.0,HERMIGUA-DEPÓSITO AYUNTAMIENTO
C329Z,28.089722,-17.111389,15.0,SAN SEBASTIÁN DE LA GOMERA
C406G,28.224167,-16.626111,2150.0,CAÑADAS PARADOR
C419L,28.207056,-16.792028,403.0,LOMO DEL BALO
C419X,28.081389,-16.710556,130.0,ADEJE-CALDERA B
C428T,28.180833,-16.483333,418.0,ARICO-DEPURADORA LA DEGOLLADA
C429I,28.046992,-16.561158,64.0,TENERIFE/SUR
C430E,28.308333,-16.499722,2368.93,IZAÑA
C438N,28.359247,-16.401736,463.0,CANDELARIA-DEPOSITO CUEVECITAS
C439J,28.318405,-16.382229,115.0,TENERIFE-GÜIMAR
C446G,28.526389,-16.280278,868.0,LAS MERCEDES-LLANO LOS LOROS
C447A,28.477497,-16.329444,632.0,TENERIFE/LOS RODEOS
C449C,28.463337,-16.255282,35.61,SANTA CRUZ DE TENERIFE 
C449F,28.508056,-16.195556,19.0,ANAGA-COL. REP. ARGENTINA
C457I,28.434444,-16.454444,567.0,VICTORIA-DEPÓSITO MARRERO
C458A,28.496473,-16.420064,310.0,TACORONTE-A S.E.A.
C458Z,28.383364,-16.572064,371.0,VALLE DE LA OROTAVA
C468X,28.373056,-16.625833,667.0,LLANOS DE MESA 
C469E,28.371389,-16.7725,62.48,GARACHICO LA QUINTA
C611E,27.976667,-15.583889,1702.0,SAN MATEO (CORRAL DE LOS JUNCOS)
C612F,28.006944,-15.598889,1514.0,TEJEDA-CRUZ DE TEJEDA
C614H,27.995,-15.615833,1060.0,TEJEDA CASCO
C619X,28.101111,-15.712778,5.0,AGAETE-CASCO
C619Y,28.001111,-15.8075,13.0,LA ALDEA DE SAN NICOLAS
C623I,27.926667,-15.599722,1220.0,SAN BARTOLOME TIRAJANA (CUEVAS DEL PINAR)
C625O,27.856944,-15.645,806.0,SAN BARTOLOME TIRAJANA-LOMO PEDRO ALFONSO
C628B,27.908889,-15.77,318.0,SAN NICOLAS T.-TASARTE/COPARLITA
C629Q,27.78,-15.711111,10.0,MOGAN (PUERTO RICO)
C629X,27.816389,-15.764167,10.0,PUERTO DE MOGÁN
C635B,27.92,-15.574167,960.0,SAN BARTOLOME TIRAJANA-H.LAS TIRAJANAS
C639M,27.758056,-15.575556,45.0,SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO
C639U,27.8125,-15.453056,41.0,SAN BARTOLOME TIRAJANA (EL MATORRAL)
C648C,27.9025,-15.453889,306.0,AGÜIMES-EL MILANO
C648N,27.9875,-15.457778,344.0,TELDE-CENTRO FORESTAL DORAMAS
C649I,27.917725,-15.395303,24.0,LAS PALMAS DE GRAN CANARIA/GANDO
C649R,27.986667,-15.377778,9.0,TELDE-MELENARA
C656V,28.075278,-15.547222,683.0,TEROR-OSORIO
C658X,28.078056,-15.453333,269.0,LAS PALMAS G.C.-TAFIRA/ZURBARÁN
C659M,28.113056,-15.421389,15.0,LAS PALMAS DE GC. PLAZA  DE LA FERIA
C665T,28.065556,-15.565556,900.0,VALLESECO
C668V,28.094478,-15.674914,352.0,AGAETE - SUERTE ALTA
C669B,28.141667,-15.506667,86.0,ARUCAS-BAÑADEROS
C689E,27.735833,-15.595833,6.0,MASPALOMAS
